POS HUJAN ID,NAME,CURRENT LATITUDE,CURRENT LONGITUDE,CURRENT ELEVATION M
52010101a,Gerung,-8.67828,116.11738,59
52010102a,Banyu Urip/Banter,-8.72969,116.15476,36
52010201a,Rumak,-8.69786,116.40342,43
52010202a,Staklim Lobar,-8.6364,116.1707,52
52010301a,Narmada,-8.597,116.22064,142
52010701a,Sekotong,-8.77289,116.05284,14
52010702a,Pelangan,-8.79392,116.93384,37
52010703a,Buwun Mas,-8.85578,116.08194,46
52010801a,Labuapi,-8.6276,116.1222,69
52010901a,Gunung Sari,-8.54,116.09861,12
52011201a,Sigerongan,-8.566,116.16343,43
52011301a,Lembar,-8.73441,116.08765,43
52011401a,Batulayar,-8.54,116.08056,13
52020101a,Praya,-8.696,116.28053,124
52020201a,Puyung,-8.681,116.23556,115
52020301a,Mantang,-8.62635,116.30632,0
52020401a,Pujut,-8.81311,116.29204,98
52020402a,Mertak,-8.885,116.388,36
52020403a,Stamet BIL,-8.56056,116.09389,13
52020501a,Penujak,-8.74208,116.24075,60
52020502a,Selong Belanak,-8.85669,116.15426,15
52020503a,Kateng,-8.82639,116.2336,54
52020601a,Mujur,-8.73153,116.31184,3
52020602a,Mujur2/Bilelando,-8.818,116.394,47
52020701a,Janapria,-8.69,116.4,283
52020801a,Pringgarata,-8.614,116.24147,161
52020901a,Kopang,-8.636,116.37228,343
52021001a,Batu Nyala,-8.73153,116.31167,3
52021101a,Darek,-8.73489,116.20325,58
52021201a,Batukliang Utara,-8.5767,116.3286,346
52030101a,Keruak,-8.7325,116.45247,106
52030301a,Terara,-8.65704,116.42387,286
52030302a,Rarang Selatan,-8.66197,116.38924,308
52030401a,Sikur,-8.63701,116.42654,292
52030501a,Masbagik,-8.61638,116.4873,215
52030601a,Sukamulia/Dasan Lekong,-8.6385,116.49103,276
52030702a,Selong,-8.65141,116.5197,170
52030801a,Pringgabaya,-8.53051,116.63782,20
52030901a,Aikmel,-8.58469,116.50997,284
52030902a,Lenek Duren,-8.53306,116.48136,600
52031001a,Sambelia,-8.38828,116.70558,92
52031002a,Labuhan Pandan,-8.30661,116.63981,71
52031101a,Kotaraja/Montong Gading,-8.59537,116.40758,380
52031201a,Pringgasela,-8.57577,116.45465,380
52031401a,Kr Baru Timur/Wanasaba,-8.52956,116.54531,400
52031501a,Sembalun,-8.36056,116.53306,1151
52031502a,Kokok Putih/Sembalun,-8.261,116.48133,127
52031601a,Swela,-8.525,116.5775,200
52031602a,Perigi,-8.50933,116.615,156
52031701a,Labuhan Haji,-8.69444,116.56944,51
52031901a,Rensing Sakra Barat,-8.72573,116.46543,220
52032001a,Jerowaru/Sepapan,-8.77419,116.47705,15
52032004a,Pandan Wangi,-8.7898,116.4625,83
52040201a,Lunyuk,-8.995,117.20361,0
52040501a,Alas,-8.51417,116.99333,15
52040601a,Utan,-8.41723,117.12007,5
52040701a,Unter Iwes,-8.50408,117.40164,42
52040702a,Semongkat,-8.57266,117.31953,244
52040801a,Diperta Sumbawa,-8.49086,117.4205,36
52040802a,Stamet Sumbawa,-8.48833,117.41194,9
52040901a,Moyo hilir,-8.52632,117.50006,65
52041001a,Moyo hulu,-8.64222,117.4404,65
52041201a,Lape,-8.62531,117.6172,0
52041301a,Plampang,-8.77701,117.75859,39
52041401a,Empang,-8.77008,118.00012,2
52041701a,Alas Barat,-8.535,116.96528,23
52041801a,Lab. Badas,-8.47121,117.37843,72
52041901a,Sukadamai/Labangka,-8.90653,117.7399,43
52042001a,Buer,-8.46605,117.03555,7
52042101a,Rhee,-8.41958,117.24761,20
52042301a,Sebewe/Moyo Utara,-8.48286,117.47432,60
52042501a,Tarano,-8.74653,117.99445,56
52042701a,Lenangguar,-8.73054,117.37315,225
52042801a,Orong Telu,-8.76961,117.17933,222
52050101a,Dompu,-8.51906,118.4654,112
52050201a,Kempo,-8.5,118.24,0
